Metric,Driver,Denominator,Level,Parent,Order,Numerator Type,Denominator Type,Cleared,Data Source
Net Income,Net Income/EBT,EBT,Operational,Net Income/EBITDA,74,Periodic,Periodic,p,Income Statement from QBO => QB drivers google sheet
CFO,Cash Flow From Operations/Net Income,Net Income,Strategic,Free Cash Flow,80,Periodic,Periodic,,Statement of cash flows from QBO => QB drivers google sheet
Net Income,Net Income,1,Operational,Cash Flow From Operations/Net Income,81,Periodic,Count,,Income Statement from QBO => QB drivers google sheet
CFO Non-cash Charges,CFNCA/Net Income,Net Income,Operational,Cash Flow From Operations/Net Income,82,Periodic,Periodic,,Cash Flow Statement from QBO => QB drivers google sheet
CFO Additions to Working Capital,Cash Flow Additions to WC/CFNCA,CFO Non-cash Charges,Operational,Cash Flow From Operations/Net Income,83,Periodic,Periodic,,Cash Flow Statement from QBO => QB drivers google sheet
CFO,Cash Flow From Operations/Cash Flow Additions to WC,CFO Additions to Working Capital,Operational,Cash Flow From Operations/Net Income,84,Periodic,Periodic,,Cash Flow Statement from QBO => QB drivers google sheet
Free Cash Flow,Free Cash Flow/Cash Flow From Operations,CFO,Strategic,Free Cash Flow,90,Periodic,Periodic,,Statement of cash flows from QBO => QB drivers google sheet
CFO,CFO,1,Operational,Free Cash Flow/CFO,91,Periodic,Count,,
CFO+CFI,CFO+CFI/CFO,CFO,Operational,Free Cash Flow/CFO,92,Periodic,Periodic,,
Free Cash Flow,Free Cash Flow/CFO+CFI,CFO+CFI,Operational,Free Cash Flow/CFO,93,Periodic,Periodic,,
end Cash Balance,end Cash Balance/Free Cash Flow,,,,100,Perpetual,Periodic,,Balance sheet from QBO => QB Drivers google sheet
