Date,variable,Scenario,value
2020-07-31,Staff Employees,VIVA EVE - Expansion,17.0
2020-07-31,Total Employees,VIVA EVE - Expansion,61.0
2020-07-31,Ad Dollars,VIVA EVE - Expansion,35620.0
2020-07-31,Impressions,VIVA EVE - Expansion,1870986.0
2020-07-31,Clicks,VIVA EVE - Expansion,29865.0
2020-07-31,Prospects,VIVA EVE - Expansion,1371.0
2020-07-31,Leads,VIVA EVE - Expansion,808.0
2020-07-31,Opportunities,VIVA EVE - Expansion,179.0
2020-07-31,New Visits,VIVA EVE - Expansion,113.0
2020-07-31,Visits,VIVA EVE - Expansion,758.3333333333333
2020-07-31,Patient Available Hours,VIVA EVE - Expansion,555.0
2020-07-31,Provider Available Hours,VIVA EVE - Expansion,555.0
2020-07-31,Actual Hours Worked,VIVA EVE - Expansion,565.0
2020-07-31,Scheduled Hours,VIVA EVE - Expansion,565.0
2020-07-31,Provider,VIVA EVE - Expansion,7.0
2020-07-31,Net Revenue,VIVA EVE - Expansion,1260723.3333333335
2020-07-31,Gross Revenue,VIVA EVE - Expansion,8825063.333333334
2020-07-31,Procedures,VIVA EVE - Expansion,4170.0
2020-07-31,Visits(excess),VIVA EVE - Expansion,758.3333333333333
2020-07-31,Net Income,VIVA EVE - Expansion,299421.7916666667
2020-07-31,EBT,VIVA EVE - Expansion,402781.7659638827
2020-07-31,EBIT,VIVA EVE - Expansion,369889.507390742
2020-07-31,EBITDA,VIVA EVE - Expansion,315180.8333333334
2020-07-31,Free Cash Flow,VIVA EVE - Expansion,127463.85671250001
2020-07-31,CFO,VIVA EVE - Expansion,296427.57375000004
2020-07-31,CFI,VIVA EVE - Expansion,-7851.92
2020-07-31,CFO+CFI,VIVA EVE - Expansion,288575.65375000006
2020-07-31,CFO Additions to Working Capital,VIVA EVE - Expansion,-765857.3317109662
2020-07-31,CFO Non-cash Charges,VIVA EVE - Expansion,36799.900473819354
2020-08-31,Cash Balance,VIVA EVE - Expansion,3652679.0
2020-08-31,Locations,VIVA EVE - Expansion,2.0
2020-08-31,Exam Room Available Hours,VIVA EVE - Expansion,1485.0
2020-08-31,Exam Room Hours,VIVA EVE - Expansion,4400.0
2020-08-31,Exam Rooms,VIVA EVE - Expansion,6.0
2020-08-31,Medical Support Staff,VIVA EVE - Expansion,35.0
2020-08-31,Staff Employees,VIVA EVE - Expansion,17.0
2020-08-31,Total Employees,VIVA EVE - Expansion,61.0
2020-08-31,Ad Dollars,VIVA EVE - Expansion,35976.0
2020-08-31,Impressions,VIVA EVE - Expansion,1889695.0
2020-08-31,Clicks,VIVA EVE - Expansion,30312.0
2020-08-31,Prospects,VIVA EVE - Expansion,1391.0
2020-08-31,Leads,VIVA EVE - Expansion,824.0
2020-08-31,Opportunities,VIVA EVE - Expansion,182.0
2020-08-31,New Visits,VIVA EVE - Expansion,118.0
2020-08-31,Visits,VIVA EVE - Expansion,787.4999999999999
2020-08-31,Patient Available Hours,VIVA EVE - Expansion,555.0
2020-08-31,Provider Available Hours,VIVA EVE - Expansion,555.0
2020-08-31,Actual Hours Worked,VIVA EVE - Expansion,565.0
2020-08-31,Scheduled Hours,VIVA EVE - Expansion,565.0
2020-08-31,Provider,VIVA EVE - Expansion,7.0
2020-08-31,Net Revenue,VIVA EVE - Expansion,1350775.0
2020-08-31,Gross Revenue,VIVA EVE - Expansion,9455425.0
2020-08-31,Procedures,VIVA EVE - Expansion,4331.0
2020-08-31,Visits(excess),VIVA EVE - Expansion,787.4999999999999
2020-08-31,Net Income,VIVA EVE - Expansion,320809.0625
2020-08-31,EBT,VIVA EVE - Expansion,431551.8921041599
2020-08-31,EBIT,VIVA EVE - Expansion,396310.18649008067
2020-08-31,EBITDA,VIVA EVE - Expansion,337693.75
2020-08-31,Free Cash Flow,VIVA EVE - Expansion,136568.41790625
2020-08-31,CFO,VIVA EVE - Expansion,317600.971875
2020-08-31,CFI,VIVA EVE - Expansion,-7851.92
2020-08-31,CFO+CFI,VIVA EVE - Expansion,309749.051875
2020-08-31,CFO Additions to Working Capital,VIVA EVE - Expansion,-820561.4268331779
2020-08-31,CFO Non-cash Charges,VIVA EVE - Expansion,39428.464793377876
2020-09-30,Cash Balance,VIVA EVE - Expansion,3745741.0
2020-09-30,Locations,VIVA EVE - Expansion,2.0
2020-09-30,Exam Room Available Hours,VIVA EVE - Expansion,1440.0
2020-09-30,Exam Room Hours,VIVA EVE - Expansion,4400.0
2020-09-30,Exam Rooms,VIVA EVE - Expansion,6.0
2020-09-30,Medical Support Staff,VIVA EVE - Expansion,35.0
2020-09-30,Staff Employees,VIVA EVE - Expansion,17.0
2020-09-30,Total Employees,VIVA EVE - Expansion,61.0
2020-09-30,Ad Dollars,VIVA EVE - Expansion,36335.0
2020-09-30,Impressions,VIVA EVE - Expansion,1908591.0
2020-09-30,Clicks,VIVA EVE - Expansion,30766.0
2020-09-30,Prospects,VIVA EVE - Expansion,1411.0
2020-09-30,Leads,VIVA EVE - Expansion,840.0
2020-09-30,Opportunities,VIVA EVE - Expansion,185.0
2020-09-30,New Visits,VIVA EVE - Expansion,122.0
2020-09-30,Visits,VIVA EVE - Expansion,816.6666666666665
2020-09-30,Patient Available Hours,VIVA EVE - Expansion,555.0
2020-09-30,Provider Available Hours,VIVA EVE - Expansion,555.0
2020-09-30,Actual Hours Worked,VIVA EVE - Expansion,565.0
2020-09-30,Scheduled Hours,VIVA EVE - Expansion,565.0
2020-09-30,Provider,VIVA EVE - Expansion,7.0
2020-09-30,Net Revenue,VIVA EVE - Expansion,1440826.666666667
2020-09-30,Gross Revenue,VIVA EVE - Expansion,10085786.666666668
2020-09-30,Procedures,VIVA EVE - Expansion,4491.0
2020-09-30,Visits(excess),VIVA EVE - Expansion,816.6666666666665
2020-09-30,Net Income,VIVA EVE - Expansion,342196.3333333334
2020-09-30,EBT,VIVA EVE - Expansion,460322.0182444374
2020-09-30,EBIT,VIVA EVE - Expansion,422730.8655894195
2020-09-30,EBITDA,VIVA EVE - Expansion,360206.66666666674
2020-09-30,Free Cash Flow,VIVA EVE - Expansion,145672.97910000003
2020-09-30,CFO,VIVA EVE - Expansion,338774.37000000005
2020-09-30,CFI,VIVA EVE - Expansion,-7851.92
2020-09-30,CFO+CFI,VIVA EVE - Expansion,330922.45000000007
2020-09-30,CFO Additions to Working Capital,VIVA EVE - Expansion,-875265.5219553899
2020-09-30,CFO Non-cash Charges,VIVA EVE - Expansion,42057.029112936405
2020-10-31,Cash Balance,VIVA EVE - Expansion,3947266.4844899997
2020-10-31,Locations,VIVA EVE - Expansion,1.0
2020-10-31,Exam Room Available Hours,VIVA EVE - Expansion,1803.857142857143
2020-10-31,Exam Room Hours,VIVA EVE - Expansion,4320.0
2020-10-31,Exam Rooms,VIVA EVE - Expansion,6.0
2020-10-31,Medical Support Staff,VIVA EVE - Expansion,35.0
2020-10-31,Staff Employees,VIVA EVE - Expansion,22.0
2020-10-31,Total Employees,VIVA EVE - Expansion,64.0
2020-10-31,Ad Dollars,VIVA EVE - Expansion,45752.63
2020-10-31,Impressions,VIVA EVE - Expansion,2098744.495412844
2020-10-31,Clicks,VIVA EVE - Expansion,42814.387706422014
2020-10-31,Prospects,VIVA EVE - Expansion,1250.1801210275228
2020-10-31,Leads,VIVA EVE - Expansion,694.2250212065834
2020-10-31,Opportunities,VIVA EVE - Expansion,131.90275402925084
2020-10-31,New Visits,VIVA EVE - Expansion,171.95
2020-10-31,Visits,VIVA EVE - Expansion,905.0
2020-10-31,Patient Available Hours,VIVA EVE - Expansion,126.0975
2020-10-31,Provider Available Hours,VIVA EVE - Expansion,127.5
2020-10-31,Actual Hours Worked,VIVA EVE - Expansion,127.5
2020-10-31,Scheduled Hours,VIVA EVE - Expansion,127.5
2020-10-31,Provider,VIVA EVE - Expansion,7.0
2020-10-31,Net Revenue,VIVA EVE - Expansion,1180749.7099999997
2020-10-31,Gross Revenue,VIVA EVE - Expansion,8433926.499999998
2020-10-31,Procedures,VIVA EVE - Expansion,4977.5
2020-10-31,Visits(excess),VIVA EVE - Expansion,905.0
2020-10-31,Net Income,VIVA EVE - Expansion,233441.61999999973
2020-10-31,EBT,VIVA EVE - Expansion,236502.27999999974
2020-10-31,EBIT,VIVA EVE - Expansion,238689.69999999975
2020-10-31,EBITDA,VIVA EVE - Expansion,250196.53999999975
2020-10-31,Free Cash Flow,VIVA EVE - Expansion,-186317.0200000019
2020-10-31,CFO,VIVA EVE - Expansion,-178696.97000000085
2020-10-31,CFI,VIVA EVE - Expansion,-10945.169999999925
2020-10-31,CFO+CFI,VIVA EVE - Expansion,-189642.14000000077
2020-10-31,CFO Additions to Working Capital,VIVA EVE - Expansion,244948.45999999973
2020-10-31,CFO Non-cash Charges,VIVA EVE - Expansion,11506.84
2020-11-30,Cash Balance,VIVA EVE - Expansion,4008824.5278159278
2020-11-30,Locations,VIVA EVE - Expansion,1.0
2020-11-30,Exam Room Available Hours,VIVA EVE - Expansion,1803.857142857143
2020-11-30,Exam Room Hours,VIVA EVE - Expansion,4176.0
2020-11-30,Exam Rooms,VIVA EVE - Expansion,6.0
2020-11-30,Medical Support Staff,VIVA EVE - Expansion,35.0
2020-11-30,Staff Employees,VIVA EVE - Expansion,22.0
2020-11-30,Total Employees,VIVA EVE - Expansion,64.0
2020-11-30,Ad Dollars,VIVA EVE - Expansion,45752.63
2020-11-30,Impressions,VIVA EVE - Expansion,2098744.495412844
2020-11-30,Clicks,VIVA EVE - Expansion,42814.387706422014
2020-11-30,Prospects,VIVA EVE - Expansion,1250.1801210275228
2020-11-30,Leads,VIVA EVE - Expansion,694.2250212065834
2020-11-30,Opportunities,VIVA EVE - Expansion,131.90275402925084
2020-11-30,New Visits,VIVA EVE - Expansion,169.575
2020-11-30,Visits,VIVA EVE - Expansion,892.5
2020-11-30,Patient Available Hours,VIVA EVE - Expansion,121.89425
2020-11-30,Provider Available Hours,VIVA EVE - Expansion,123.25
2020-11-30,Actual Hours Worked,VIVA EVE - Expansion,123.25
2020-11-30,Scheduled Hours,VIVA EVE - Expansion,123.25
2020-11-30,Provider,VIVA EVE - Expansion,7.0
2020-11-30,Net Revenue,VIVA EVE - Expansion,1138119.4635446218
2020-11-30,Gross Revenue,VIVA EVE - Expansion,8129424.7396044405
2020-11-30,Procedures,VIVA EVE - Expansion,4908.75
2020-11-30,Visits(excess),VIVA EVE - Expansion,892.5
2020-11-30,Net Income,VIVA EVE - Expansion,116963.93815338043
2020-11-30,EBT,VIVA EVE - Expansion,124757.82409684997
2020-11-30,EBIT,VIVA EVE - Expansion,126991.02219908434
2020-11-30,EBITDA,VIVA EVE - Expansion,138331.15420161482
2020-11-30,Free Cash Flow,VIVA EVE - Expansion,61558.03332592825
2020-11-30,CFO,VIVA EVE - Expansion,126140.94711890665
2020-11-30,CFI,VIVA EVE - Expansion,0.0
2020-11-30,CFO+CFI,VIVA EVE - Expansion,126140.94711890665
2020-11-30,CFO Additions to Working Capital,VIVA EVE - Expansion,128304.0701559109
2020-11-30,CFO Non-cash Charges,VIVA EVE - Expansion,11340.132002530478
2020-12-31,Cash Balance,VIVA EVE - Expansion,4129012.17694722
2020-12-31,Locations,VIVA EVE - Expansion,1.0
2020-12-31,Exam Room Available Hours,VIVA EVE - Expansion,1803.857142857143
2020-12-31,Exam Room Hours,VIVA EVE - Expansion,4320.0
2020-12-31,Exam Rooms,VIVA EVE - Expansion,6.0
2020-12-31,Medical Support Staff,VIVA EVE - Expansion,35.0
2020-12-31,Staff Employees,VIVA EVE - Expansion,22.0
2020-12-31,Total Employees,VIVA EVE - Expansion,64.0
2020-12-31,Ad Dollars,VIVA EVE - Expansion,45752.63
2020-12-31,Impressions,VIVA EVE - Expansion,2098744.495412844
2020-12-31,Clicks,VIVA EVE - Expansion,42814.387706422014
2020-12-31,Prospects,VIVA EVE - Expansion,1250.1801210275228
2020-12-31,Leads,VIVA EVE - Expansion,694.2250212065834
2020-12-31,Opportunities,VIVA EVE - Expansion,131.90275402925084
2020-12-31,New Visits,VIVA EVE - Expansion,174.42000000000002
2020-12-31,Visits,VIVA EVE - Expansion,918.0
2020-12-31,Patient Available Hours,VIVA EVE - Expansion,126.0975
2020-12-31,Provider Available Hours,VIVA EVE - Expansion,127.5
2020-12-31,Actual Hours Worked,VIVA EVE - Expansion,127.5
2020-12-31,Scheduled Hours,VIVA EVE - Expansion,127.5
2020-12-31,Provider,VIVA EVE - Expansion,7.0
2020-12-31,Net Revenue,VIVA EVE - Expansion,1130278.9414922944
2020-12-31,Gross Revenue,VIVA EVE - Expansion,8073421.010659245
2020-12-31,Procedures,VIVA EVE - Expansion,5049.0
2020-12-31,Visits(excess),VIVA EVE - Expansion,918.0
2020-12-31,Net Income,VIVA EVE - Expansion,114221.38162719627
2020-12-31,EBT,VIVA EVE - Expansion,122245.23281429427
2020-12-31,EBIT,VIVA EVE - Expansion,124454.09851157793
2020-12-31,EBITDA,VIVA EVE - Expansion,135669.0244457516
2020-12-31,Free Cash Flow,VIVA EVE - Expansion,120187.6391312929
2020-12-31,CFO,VIVA EVE - Expansion,186434.79392840204
2020-12-31,CFI,VIVA EVE - Expansion,0.0
2020-12-31,CFO+CFI,VIVA EVE - Expansion,186434.79392840204
2020-12-31,CFO Additions to Working Capital,VIVA EVE - Expansion,125436.30756136993
2020-12-31,CFO Non-cash Charges,VIVA EVE - Expansion,11214.925934173654
2021-01-31,Cash Balance,VIVA EVE - Expansion,2201887.5383876353
2021-01-31,Locations,VIVA EVE - Expansion,2.0
2021-01-31,Exam Room Available Hours,VIVA EVE - Expansion,7495.535714285714
2021-01-31,Exam Room Hours,VIVA EVE - Expansion,12240.0
2021-01-31,Exam Rooms,VIVA EVE - Expansion,17.0
2021-01-31,Medical Support Staff,VIVA EVE - Expansion,35.0
2021-01-31,Staff Employees,VIVA EVE - Expansion,22.0
2021-01-31,Total Employees,VIVA EVE - Expansion,64.0
2021-01-31,Ad Dollars,VIVA EVE - Expansion,62607.89061167747
2021-01-31,Impressions,VIVA EVE - Expansion,2871921.587691627
2021-01-31,Clicks,VIVA EVE - Expansion,58587.200388909194
2021-01-31,Prospects,VIVA EVE - Expansion,1710.7462513561484
2021-01-31,Leads,VIVA EVE - Expansion,949.9773933780692
2021-01-31,Opportunities,VIVA EVE - Expansion,180.49570474183315
2021-01-31,New Visits,VIVA EVE - Expansion,175.18
2021-01-31,Visits,VIVA EVE - Expansion,922.0
2021-01-31,Patient Available Hours,VIVA EVE - Expansion,252.195
2021-01-31,Provider Available Hours,VIVA EVE - Expansion,255.0
2021-01-31,Actual Hours Worked,VIVA EVE - Expansion,255.0
2021-01-31,Scheduled Hours,VIVA EVE - Expansion,255.0
2021-01-31,Provider,VIVA EVE - Expansion,7.0
2021-01-31,Net Revenue,VIVA EVE - Expansion,1325880.8600801732
2021-01-31,Gross Revenue,VIVA EVE - Expansion,9470577.572001237
2021-01-31,Procedures,VIVA EVE - Expansion,5071.0
2021-01-31,Visits(excess),VIVA EVE - Expansion,922.0
2021-01-31,Net Income,VIVA EVE - Expansion,216335.05465822524
2021-01-31,EBT,VIVA EVE - Expansion,223786.76956718913
2021-01-31,EBIT,VIVA EVE - Expansion,225971.27468663227
2021-01-31,EBITDA,VIVA EVE - Expansion,237104.73146381872
2021-01-31,Free Cash Flow,VIVA EVE - Expansion,-1927124.6485595847
2021-01-31,CFO,VIVA EVE - Expansion,3420.5075207472837
2021-01-31,CFI,VIVA EVE - Expansion,-537566.694444444
2021-01-31,CFO+CFI,VIVA EVE - Expansion,-534146.1869236968
2021-01-31,CFO Additions to Working Capital,VIVA EVE - Expansion,227468.5114354117
2021-01-31,CFO Non-cash Charges,VIVA EVE - Expansion,11133.456777186451
2021-02-28,Cash Balance,VIVA EVE - Expansion,2497379.804734812
2021-02-28,Locations,VIVA EVE - Expansion,2.0
2021-02-28,Exam Room Available Hours,VIVA EVE - Expansion,7495.535714285714
2021-02-28,Exam Room Hours,VIVA EVE - Expansion,11016.0
2021-02-28,Exam Rooms,VIVA EVE - Expansion,17.0
2021-02-28,Medical Support Staff,VIVA EVE - Expansion,35.0
2021-02-28,Staff Employees,VIVA EVE - Expansion,22.0
2021-02-28,Total Employees,VIVA EVE - Expansion,64.0
2021-02-28,Ad Dollars,VIVA EVE - Expansion,91102.56671883033
2021-02-28,Impressions,VIVA EVE - Expansion,4179016.821964694
2021-02-28,Clicks,VIVA EVE - Expansion,85251.94316807977
2021-02-28,Prospects,VIVA EVE - Expansion,2489.3567405079293
2021-02-28,Leads,VIVA EVE - Expansion,1382.3397980040531
2021-02-28,Opportunities,VIVA EVE - Expansion,262.6445616207701
2021-02-28,New Visits,VIVA EVE - Expansion,194.37
2021-02-28,Visits,VIVA EVE - Expansion,923.0
2021-02-28,Patient Available Hours,VIVA EVE - Expansion,226.9755
2021-02-28,Provider Available Hours,VIVA EVE - Expansion,229.5
2021-02-28,Actual Hours Worked,VIVA EVE - Expansion,229.5
2021-02-28,Scheduled Hours,VIVA EVE - Expansion,229.5
2021-02-28,Provider,VIVA EVE - Expansion,7.0
2021-02-28,Net Revenue,VIVA EVE - Expansion,1352269.309727143
2021-02-28,Gross Revenue,VIVA EVE - Expansion,9659066.498051021
2021-02-28,Procedures,VIVA EVE - Expansion,5626.5
2021-02-28,Visits(excess),VIVA EVE - Expansion,923.0
2021-02-28,Net Income,VIVA EVE - Expansion,172857.73826220975
2021-02-28,EBT,VIVA EVE - Expansion,177509.58517192517
2021-02-28,EBIT,VIVA EVE - Expansion,179790.75906783392
2021-02-28,EBITDA,VIVA EVE - Expansion,193966.31891126666
2021-02-28,Free Cash Flow,VIVA EVE - Expansion,295492.2563471771
2021-02-28,CFO,VIVA EVE - Expansion,551470.0441249548
2021-02-28,CFI,VIVA EVE - Expansion,-254377.77777777775
2021-02-28,CFO+CFI,VIVA EVE - Expansion,297092.2663471771
2021-02-28,CFO Additions to Working Capital,VIVA EVE - Expansion,187033.29810564255
2021-02-28,CFO Non-cash Charges,VIVA EVE - Expansion,14175.559843432737
2021-03-31,Cash Balance,VIVA EVE - Expansion,2847209.3743673814
2021-03-31,Locations,VIVA EVE - Expansion,2.0
2021-03-31,Exam Room Available Hours,VIVA EVE - Expansion,7495.535714285714
2021-03-31,Exam Room Hours,VIVA EVE - Expansion,12240.0
2021-03-31,Exam Rooms,VIVA EVE - Expansion,17.0
2021-03-31,Medical Support Staff,VIVA EVE - Expansion,35.0
2021-03-31,Staff Employees,VIVA EVE - Expansion,22.0
2021-03-31,Total Employees,VIVA EVE - Expansion,64.0
2021-03-31,Ad Dollars,VIVA EVE - Expansion,95362.27874134808
2021-03-31,Impressions,VIVA EVE - Expansion,4374416.456025141
2021-03-31,Clicks,VIVA EVE - Expansion,89238.09570291289
2021-03-31,Prospects,VIVA EVE - Expansion,2605.7523945250564
2021-03-31,Leads,VIVA EVE - Expansion,1446.974304679764
2021-03-31,Opportunities,VIVA EVE - Expansion,274.92511788915516
2021-03-31,New Visits,VIVA EVE - Expansion,194.18
2021-03-31,Visits,VIVA EVE - Expansion,1012.0
2021-03-31,Patient Available Hours,VIVA EVE - Expansion,252.195
2021-03-31,Provider Available Hours,VIVA EVE - Expansion,255.0
2021-03-31,Actual Hours Worked,VIVA EVE - Expansion,255.0
2021-03-31,Scheduled Hours,VIVA EVE - Expansion,255.0
2021-03-31,Provider,VIVA EVE - Expansion,7.0
2021-03-31,Net Revenue,VIVA EVE - Expansion,1400054.1643848573
2021-03-31,Gross Revenue,VIVA EVE - Expansion,10000386.888463266
2021-03-31,Procedures,VIVA EVE - Expansion,5621.0
2021-03-31,Visits(excess),VIVA EVE - Expansion,1012.0
2021-03-31,Net Income,VIVA EVE - Expansion,194533.36018939133
2021-03-31,EBT,VIVA EVE - Expansion,198375.22396353463
2021-03-31,EBIT,VIVA EVE - Expansion,200654.65693164608
2021-03-31,EBITDA,VIVA EVE - Expansion,216813.3659070627
2021-03-31,Free Cash Flow,VIVA EVE - Expansion,349829.55963256944
2021-03-31,CFO,VIVA EVE - Expansion,608307.347410347
2021-03-31,CFI,VIVA EVE - Expansion,-256877.77777777752
2021-03-31,CFO+CFI,VIVA EVE - Expansion,351429.56963256944
2021-03-31,CFO Additions to Working Capital,VIVA EVE - Expansion,210692.06916480797
2021-03-31,CFO Non-cash Charges,VIVA EVE - Expansion,16158.708975416605
2021-04-30,Cash Balance,VIVA EVE - Expansion,2658968.5491168816
2021-04-30,Locations,VIVA EVE - Expansion,2.0
2021-04-30,Exam Room Available Hours,VIVA EVE - Expansion,7495.535714285714
2021-04-30,Exam Room Hours,VIVA EVE - Expansion,11832.0
2021-04-30,Exam Rooms,VIVA EVE - Expansion,17.0
2021-04-30,Medical Support Staff,VIVA EVE - Expansion,35.0
2021-04-30,Staff Employees,VIVA EVE - Expansion,22.0
2021-04-30,Total Employees,VIVA EVE - Expansion,64.0
2021-04-30,Ad Dollars,VIVA EVE - Expansion,98926.50869172404
2021-04-30,Impressions,VIVA EVE - Expansion,4537913.242739635
2021-04-30,Clicks,VIVA EVE - Expansion,92573.43015188855
2021-04-30,Prospects,VIVA EVE - Expansion,2703.1441604351457
2021-04-30,Leads,VIVA EVE - Expansion,1501.0559522896365
2021-04-30,Opportunities,VIVA EVE - Expansion,285.2006309350309
2021-04-30,New Visits,VIVA EVE - Expansion,194.37
2021-04-30,Visits,VIVA EVE - Expansion,1023.0
2021-04-30,Patient Available Hours,VIVA EVE - Expansion,243.7885
2021-04-30,Provider Available Hours,VIVA EVE - Expansion,246.5
2021-04-30,Actual Hours Worked,VIVA EVE - Expansion,246.5
2021-04-30,Scheduled Hours,VIVA EVE - Expansion,246.5
2021-04-30,Provider,VIVA EVE - Expansion,7.0
2021-04-30,Net Revenue,VIVA EVE - Expansion,1435884.733887903
2021-04-30,Gross Revenue,VIVA EVE - Expansion,10256319.527770733
2021-04-30,Procedures,VIVA EVE - Expansion,5626.5
2021-04-30,Visits(excess),VIVA EVE - Expansion,1023.0
2021-04-30,Net Income,VIVA EVE - Expansion,219863.9014942142
2021-04-30,EBT,VIVA EVE - Expansion,223817.85568385504
2021-04-30,EBIT,VIVA EVE - Expansion,226905.73587800266
2021-04-30,EBITDA,VIVA EVE - Expansion,243811.84641959463
2021-04-30,Free Cash Flow,VIVA EVE - Expansion,-188240.8352504999
2021-04-30,CFO,VIVA EVE - Expansion,317232.1071158962
2021-04-30,CFI,VIVA EVE - Expansion,-254377.77777777775
2021-04-30,CFO+CFI,VIVA EVE - Expansion,62854.329338118434
2021-04-30,CFO Additions to Working Capital,VIVA EVE - Expansion,236770.01203580623
2021-04-30,CFO Non-cash Charges,VIVA EVE - Expansion,16906.11054159199
2021-05-31,Cash Balance,VIVA EVE - Expansion,2478271.8412698465
2021-05-31,Locations,VIVA EVE - Expansion,2.0
2021-05-31,Exam Room Available Hours,VIVA EVE - Expansion,7495.535714285714
2021-05-31,Exam Room Hours,VIVA EVE - Expansion,12240.0
2021-05-31,Exam Rooms,VIVA EVE - Expansion,17.0
2021-05-31,Medical Support Staff,VIVA EVE - Expansion,35.0
2021-05-31,Staff Employees,VIVA EVE - Expansion,22.0
2021-05-31,Total Employees,VIVA EVE - Expansion,64.0
2021-05-31,Ad Dollars,VIVA EVE - Expansion,100507.7178706101
2021-05-31,Impressions,VIVA EVE - Expansion,4610445.773881197
2021-05-31,Clicks,VIVA EVE - Expansion,94053.09378717642
2021-05-31,Prospects,VIVA EVE - Expansion,2746.3503385855515
2021-05-31,Leads,VIVA EVE - Expansion,1525.0483430165568
2021-05-31,Opportunities,VIVA EVE - Expansion,289.7591851731458
2021-05-31,New Visits,VIVA EVE - Expansion,2244.47
2021-05-31,Visits,VIVA EVE - Expansion,1023.0
2021-05-31,Patient Available Hours,VIVA EVE - Expansion,252.195
2021-05-31,Provider Available Hours,VIVA EVE - Expansion,255.0
2021-05-31,Actual Hours Worked,VIVA EVE - Expansion,255.0
2021-05-31,Scheduled Hours,VIVA EVE - Expansion,255.0
2021-05-31,Provider,VIVA EVE - Expansion,7.0
2021-05-31,Net Revenue,VIVA EVE - Expansion,1435884.733887903
2021-05-31,Gross Revenue,VIVA EVE - Expansion,10256319.527770733
2021-05-31,Procedures,VIVA EVE - Expansion,64971.5
2021-05-31,Visits(excess),VIVA EVE - Expansion,1023.0
2021-05-31,Net Income,VIVA EVE - Expansion,210585.01823624718
2021-05-31,EBT,VIVA EVE - Expansion,214219.99679585395
2021-05-31,EBIT,VIVA EVE - Expansion,217306.22585049475
2021-05-31,EBITDA,VIVA EVE - Expansion,236226.75838560602
2021-05-31,Free Cash Flow,VIVA EVE - Expansion,-180696.71784703483
2021-05-31,CFO,VIVA EVE - Expansion,75281.06993074316
2021-05-31,CFI,VIVA EVE - Expansion,-254377.77777777798
2021-05-31,CFO+CFI,VIVA EVE - Expansion,-179096.70784703482
2021-05-31,CFO Additions to Working Capital,VIVA EVE - Expansion,229505.55077135845
2021-05-31,CFO Non-cash Charges,VIVA EVE - Expansion,18920.53253511127
2021-06-30,Cash Balance,VIVA EVE - Expansion,2458862.1117483415
2021-06-30,Locations,VIVA EVE - Expansion,2.0
